,IUPAC Name,Formula,Common Name,CAS No.,H,CH3,C2H5,CH2OH,CHFOH,CHClOH,COOH,NH2,CH2NH2,NO2,F,Cl,Br,I,CH2F,CH2Cl,CH2Br,SH,OH,CH(CH3)OH],CH2I,CHO,CH2SH,CONH2,CH(CH3)NH2,C4H9,CO(CH3),COCl,Symmetry,distavg,diststdev,AngAvg,ANGSDEV,Center of Mass,avgdon,avgacc,stdevdon,stdevacc,sumdon,sumacc,Maxdon,Maxacc,moleculetotal,Ravg,Rstdev,Svib(J/mol/K),Volume(bohr**3/mol),Interaction Energy(kJ/mol),E_elec(kJ/mol),E_pauli(kJ/mol),E_dispersion(kJ/mol),E_polarization(kJ/mol),E_CT(kJ/mol),T_m,0,year
0,"3,3-Diethylpentane",C2H5,3-Diethylpentane,1067-20-5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,2.6,0.0,109.5,0.0,0.01,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,128.25,29.06,0.0,70.33955938447167,1458.1998811881188,-24.512889313656117,-27.3036,43.1092,-29.2192,-0.6253,-4.5856,240.13,0.2632805804009317,1976.0
1,"2,2-Bis(chloromethyl)-1,3-dichloropropane",CH2Cl,pentaerythritol tetrachloride,3228-99-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,2.81,0.0,109.49,2.57,0.02,1.3,3.1,0.0,0.0,5.2,12.4,1.3,3.1,209.91,49.48,0.0,61.23983646309822,1396.2748000000001,-27.32102786965121,-29.6139,40.7691,-15.9376,-0.6288,-7.7869,368.23,0.7159416792812823,1965.0
2,Dimethylmethane,C(H)2(CH3)2,Propane,74-98-6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,1.25,0.32,109.45,1.63,0.58,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,44.1,8.0,8.1,5.416110554282796,593.5141386138614,-11.141768269122386,-12.1651,19.6553,-13.9137,-0.1686,-2.0762,85.5,0.13967846682328489,2009.0
3,"1,1-dimethyl-ethane",C(H)(CH3)3,Isobutane,75-28-5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,1.42,0.22,109.46,1.23,0.37,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,58.1,11.5,7.0,18.212132021704544,743.358405940594,-11.514098754719331,-12.9435,21.5293,-14.2604,-0.2119,-2.5385,113.74,0.15900790387595887,2009.0
4,Dimethylmethane,C(H)3(C2H5),Propane,74-98-6,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.36,0.78,108.76,19.03,1.3,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,44.1,8.0,14.0,5.416110554282796,593.5141386138614,-11.141768269122386,-12.1651,19.6553,-13.9137,-0.1686,-2.0762,85.45,0.13967846682328489,2009.0
5,n-Pentane,C(H)2(C2H5)2,n-Pentane,109-66-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,1.77,0.88,109.45,2.09,0.32,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,72.1,15.0,16.2,15.631566766613162,888.789594059406,-21.676996215500136,-23.8186,37.9386,-27.1176,-0.4859,-4.2578,143.47,0.057228327948677826,1935.0
6,"propane-1,3-diol",C(H)2(CH2OH)2,"propane-1,3-diol",504-63-2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,1.72,0.84,109.45,2.23,1.01,2.3,3.15,1.8,3.15,9.2,12.6,4.1,6.3,76.09,16.0,17.32,9.993680376060366,696.4670495049504,-107.41302261212155,-219.3464,212.3336,-18.6277,-22.8134,-38.9067,249.0,0.1091686742696869,1998.0
7,"3,3-dimethylbutan-2-ol",C(CH3)3CH(CH3)OH,"2,2-Dimethyl-3-butanol",,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.77,0.46,109.45,1.65,0.67,1.4,1.58,1.56,2.73,5.6,6.3,4.1,6.3,102.17,22.51,15.03,22.01392265989975,1073.5876534653466,-50.24473831299279,-88.3523,92.7007,-16.7836,-6.8242,-14.3682,266.81,0.43932057703027283,2018.0
8,"2,2-Diethyl-1,3-propanediol",C(C2H5)2(CH2OH)2,,115-76-4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.48,0.08,109.47,2.31,0.04,2.3,3.15,1.8,3.15,9.2,12.6,4.1,6.3,132.2,30.05,1.1,29.338996997580416,1271.9383564356435,-89.70089515024932,-198.9248,201.0126,-27.2094,-17.8278,-35.6449,316.08,0.4025537234447525,2023.0
9,"3-chloro-2,2-bis(chloromethyl)propanoic acid",C(COOH)(CH2Cl)3,,17831-70-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.64,0.19,109.45,2.82,0.21,2.35,3.9,1.82,1.39,9.4,15.6,5.5,6.3,205.46,48.38,2.25,32.54844662247437,1336.9910199004973,-100.04544603179116,-251.6931,267.7174,-9.7027,-40.8317,-59.2441,383.9,0.228540128277396,1999.0
