,IUPAC Name,Formula,Common Name,CAS No.,Str(cal/mol/K),Htr(kcal/mol),T_tr,T_m,H,CH3,C2H5,CH2OH,CHFOH,CHClOH,COOH,NH2,CH2NH2,NO2,F,Cl,Br,I,CH2F,CH2Cl,CH2Br,SH,OH,CH(CH3)OH,CH2I,CHO,CH2SH,CONH2,CH(CH3)NH2,C4H9,CO(CH3),COCl,Symmetry,distavg,diststdev,AngAvg,ANGSDEV,Center of Mass,avgdon,avgacc,stdevdon,stdevacc,sumdon,sumacc,Maxdon,Maxacc,moleculetotal,Ravg,Rstdev,Svib(J/mol/K),Volume(bohr**3/mol),Interaction Energy(kJ/mol),E_elec(kJ/mol),E_pauli(kJ/mol),E_dispersion(kJ/mol),E_polarization(kJ/mol),E_CT(kJ/mol),T_m,sphericity,Year
0,Methane,CH4,,74-82-8,3.2,0.1,20.5,90.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,1.09,0.0,109.5,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,16.04,1.01,0.0,0.0916,274.6829,-2.7491,-3.0673,4.9046,-3.7608,-0.008,-0.0566,90.7,0.9999903259258192,1997.5
1,"2,2-Dimethylpropane",C(CH3)4,Neopentane,463-82-1,18.5,2.6,139.9,256.65,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,1.51,0.0,109.5,0.0,1.1e-05,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,72.15,15.03,0.0,12.91,880.21,-11.96,-14.32,24.1,-15.25,-0.26,-2.65,256.65,0.9999792640286094,1986.0
2,"2,2-Bis(hydroxymethyl)1,3-propanediol",C(CH2OH)4,Pentaerythritol,115-77-5,88.72,40.9,461.0,513.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,2.45,0.0,109.5,1.86,0.0,4.1,6.3,0.0,0.0,16.4,25.2,4.1,6.3,136.14,31.03,0.0,28.34,1096.27,-131.49,-223.25,228.57,-20.41,-23.19,-40.53,513.2,0.49147439042837315,1994.6666670000002
3,Tetrafluoromethane,CF4,,75-73-0,20.45,1.56,76.2,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,1.3,0.01,109.47,0.48,0.027,0.0,3.9,0.0,0.0,0.0,15.6,0.0,3.9,88.0,19.0,0.0,3.0,391.48,-7.85,-2.95,5.98,-5.91,-0.03,0.19,89.5,0.9998247347169582,1994.0
4,Carbon tetrachloride,CCl4,,56-23-5,20.67,4.66,225.61,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,1.77,0.0,109.5,0.0,0.025,0.0,3.1,0.0,0.0,0.0,12.4,0.0,3.1,153.81,35.45,0.0,9.23,821.07,-11.09,-13.8,22.24,-8.89,-0.06,1.45,249.0,0.999784681670427,1970.0
5,Tetrabromomethane,CBr4,,558-13-4,20.78,6.65,320.0,363.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,1.94,0.0,109.47,0.86,0.008727,0.0,2.9,0.0,0.0,0.0,11.6,0.0,2.9,331.63,79.9,0.0,15.02,1064.91,-18.2,-19.97,23.93,-12.88,-0.18,-1.83,363.2,0.9998936928732653,2007.5
6,"1,3-difluoro-2,2-bis(fluoromethyl)propane",C(CH2F)4,pentaerythritol tetrafluoride,338-23-8,53.01,13.16,248.2,367.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,2.37,0.0,109.48,0.62,0.004175,1.3,3.9,0.0,0.0,5.2,15.6,1.3,3.9,144.11,33.02,0.0,26.95,970.5,-58.64,-37.14,47.2,-15.84,-1.23,-6.56,367.43,0.5503748237798554,1991.5
7,Dimethyl,C(H)3(CH3),Ethane,74-84-0,25.48,2.28,89.81299999999999,90.34100000000001,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.2,0.21,109.46,1.22,0.7559999999999999,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,58.1,11.5,7.0,1.93,431.75,-7.85,-8.79,13.66,-9.53,-0.1,-1.41,90.34100000000001,0.25087741720185086,1985.5
8,Ethyl alcohol,C(H)3(CH2OH)1,ethanol,64-17-5,28.17,3.14,111.4,158.8,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.42,0.65,109.45,1.59,0.590641515,1.4,1.575,1.558846,2.72798,5.6,6.3,4.1,6.3,46.1,8.5,15.0,4.3,491.53,-46.77,-84.01,84.97,-10.73,-6.12,-13.8,158.8,0.12070283034039386,2014.0
9,"2-Hydroxymethyl-1,3-propanediol",C(H)1(CH2OH)3,Trimethylolmethane,4704-94-3,65.24,23.09,354.0,338.7,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.06,0.72,109.4,2.66,0.41512899999999997,3.2,4.725,1.558846,2.72798,12.8,18.9,4.1,6.3,106.12,23.5,15.0,20.11,900.36,-134.08,-219.52,209.71,-15.14,-24.18,-34.6,338.7,0.3028700458126625,2019.0
