Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9964	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2414	1.0000	0.0000	0.0000	0.0000	0.1777	0.0000	0.4991	0.9425	0.5566	0.9584	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7816	1.0000	0.0977	0.0000	0.7326	0.3805	0.0000	0.6772	0.1967	0.3574	0.4029	0.4762
sample4_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1207	0.9997	0.0252	0.0141	0.4535	0.2280	0.0000	0.0963	0.9682	0.9170	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4885	0.9997	0.0452	0.0046	0.3372	1.0000	0.0000	0.6513	0.9036	0.6480	0.9704	0.9999
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0632	0.9996	0.0641	0.3947	0.0000	0.1330	0.1777	0.1295	0.9682	0.7773	0.9765	0.2284
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1897	0.9995	0.0836	0.3083	0.7326	0.0949	0.3807	0.1787	0.7253	0.7310	0.7949	0.0944
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4080	0.9955	0.8692	0.9796	0.0000	0.2217	0.1777	0.6210	0.9098	0.3188	0.9469	0.5620
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	0.9998	0.0336	1.0000	0.7326	0.2280	0.2030	0.5612	0.7075	0.4469	0.7545	0.5742
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5230	0.9998	0.0709	0.2888	0.7326	0.2787	0.2335	0.5969	0.2725	0.2698	0.4449	0.3796
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6552	0.9998	0.0578	0.9532	0.7326	0.3294	0.2030	0.6351	0.1622	0.5458	0.4899	0.2762
sample12_group1	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	0.9997	0.0268	0.3357	0.7326	0.2724	0.3807	0.5588	0.1051	0.8310	0.1528	0.4244
sample13_group1	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3621	0.9993	0.1345	0.3291	0.6395	0.2762	0.3934	0.5295	0.7416	0.4960	0.8845	0.4564
sample14_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4943	0.9996	0.1245	0.3081	0.6395	0.3738	0.4543	0.5593	0.7365	0.4925	0.8663	0.5356
