               index         classified?        descriptor_1        descriptor_2
                   1                 YES   -0.1000000000E+01    0.2151600000E-01
                   2                  NO   -0.6062000000E+00    0.2162460000E-02
                   3                 YES   -0.6255000000E+00   -0.7381938000E-01
                   4                 YES   -0.9472000000E+00   -0.1315344000E-01
                   5                 YES   -0.8503000000E+00   -0.5200000000E-01
                   6                 YES   -0.4111000000E+00   -0.2047025800E+00
                   7                  NO   -0.9540000000E-01   -0.4050254000E-01
                   8                 YES   -0.6544000000E+00   -0.1389948700E+00
                   9                  NO    0.4110000000E-01   -0.1764720000E-01
                  10                  NO   -0.3039000000E+00   -0.2197154000E-01
                  11                 YES   -0.3640000000E+00   -0.6719706000E-01
                  12                 YES   -0.6517000000E+00   -0.1477146300E+00
                  13                 YES   -0.1147300000E+01   -0.4608720000E-02
                  14                 YES   -0.2018000000E+00   -0.1083250000E+00
                  15                 YES   -0.1853000000E+00   -0.5702468000E-01
                  16                  NO   -0.2476000000E+00   -0.2994720000E-01
                  17                 YES   -0.2179000000E+00   -0.5890660000E-01
                  18                 YES    0.6000000000E-03   -0.7738152000E-01
                  19                 YES    0.1559000000E+00   -0.8268189000E-01
                  20                 YES    0.2074000000E+00   -0.1128087800E+00
                  21                 YES   -0.1388200000E+01    0.2576100000E-02
                  22                 YES   -0.6509000000E+00   -0.6682236000E-01
                  23                 YES   -0.1060000000E+01   -0.1877488900E+00
                  24                 YES   -0.4524000000E+00   -0.1134053200E+00
                  25                 YES   -0.3539000000E+00   -0.3916920000E-01
                  26                 YES   -0.5998000000E+00   -0.2012742300E+00
                  27                  NO   -0.1454000000E+00   -0.3160476000E-01
                  28                  NO   -0.4377000000E+00    0.4332540000E-01
                  29                 YES   -0.9265000000E+00   -0.1016640000E-02
                  30                  NO   -0.6476000000E+00    0.0000000000E+00
                  31                  NO   -0.1508000000E+00    0.2418636000E-01
                  32                 YES   -0.4336000000E+00   -0.1030766400E+00
                  33                 YES   -0.5812000000E+00   -0.1129216800E+00
                  34                 YES   -0.1946000000E+00   -0.5562177000E-01
                  35                 YES   -0.5404000000E+00   -0.3109281600E+00
                  36                 YES   -0.3508000000E+00   -0.1288284400E+00
                  37                 YES    0.6230000000E+00   -0.4349763000E-01
                  38                 YES    0.2325000000E+00   -0.8536500000E-03
                  39                 YES    0.2239000000E+00    0.3296300000E-02
                  40                 YES    0.2325000000E+00   -0.8536500000E-03
                  41                 YES    0.7703000000E+00   -0.3190116000E-01
                  42                  NO   -0.1515000000E+00   -0.2630400000E-01
                  43                  NO   -0.2073000000E+00   -0.5029914000E-01
                  44                 YES   -0.5791000000E+00    0.3105275400E+00
                  45                 YES    0.2222000000E+00   -0.4657640000E-01
                  46                  NO   -0.5805000000E+00   -0.6070950000E-02
                  47                 YES    0.3082000000E+00   -0.3004416000E-01
                  48                 YES    0.4986000000E+00   -0.3287520000E-01
                  49                 YES   -0.3342000000E+00    0.4497098000E-01
                  50                  NO   -0.3030000000E+00   -0.4143104000E-01
                  51                  NO   -0.6925000000E+00   -0.1054200000E-03
                  52                 YES    0.2555000000E+00   -0.8325800000E-01
                  53                 YES    0.3489000000E+00   -0.8176140000E-01
                  54                  NO   -0.4493000000E+00    0.4313588000E-01
                  55                 YES   -0.2474000000E+00    0.4372879000E-01
                  56                 YES    0.1728000000E+00   -0.3474171000E-01
                  57                 YES   -0.5443000000E+00    0.4081088000E-01
                  58                  NO   -0.1447000000E+00    0.1054720000E-01
                  59                 YES    0.1553000000E+00   -0.3420144000E-01
                  60                 YES   -0.3008000000E+00    0.6237782000E-01
                  61                 YES    0.1577000000E+00   -0.3230442000E-01
                  62                 YES   -0.8409000000E+00    0.3856960000E-01
                  63                 YES   -0.1168000000E+00    0.3293712000E-01
                  64                 YES    0.1686000000E+00    0.9411705000E-01
                  65                 YES    0.5800000000E-02    0.5419323000E-01
                  66                 YES    0.2996000000E+00   -0.3491023000E-01
