Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2414	1.0000	0.0000	0.0000	0.1777	0.0000	0.4991	0.9397	0.5608	0.9410	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7816	1.0000	0.0000	0.7326	0.3805	0.0000	0.6772	0.1577	0.3635	0.3956	0.4762
sample4_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3908	1.0000	0.0131	0.3605	0.4366	0.0000	0.4503	0.9454	0.8039	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4885	0.9997	0.0046	0.3372	1.0000	0.0000	0.6513	0.8989	0.6514	0.9528	0.9999
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5575	0.9991	0.2167	0.7326	0.2851	0.4630	0.5157	0.1408	0.5650	0.4810	0.2820
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4080	0.9955	0.9796	0.0000	0.2217	0.2160	0.6210	0.9054	0.3253	0.9297	0.5620
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	0.9998	1.0000	0.7326	0.2280	0.2469	0.5612	0.6933	0.4522	0.7409	0.5742
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5230	0.9998	0.2888	0.7326	0.2787	0.2840	0.5969	0.2372	0.2768	0.4368	0.3796
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6552	0.9998	0.9532	0.7326	0.3294	0.2469	0.6351	0.1216	0.5501	0.4810	0.2762
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	0.9997	0.3357	0.7326	0.2724	0.4630	0.5588	0.0617	0.8326	0.1500	0.4244
sample12_group1	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3621	0.9993	0.3291	0.6395	0.2762	0.4784	0.5295	0.7290	0.5008	0.8684	0.4564
sample13_group1	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4943	0.9996	0.3081	0.6395	0.3738	0.5525	0.5593	0.7237	0.4973	0.8506	0.5356
sample14_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6034	0.9985	0.2549	0.6395	0.4727	0.4784	0.5993	0.7853	0.4939	0.8632	0.5005
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3391	0.9997	0.2190	0.3605	0.3066	0.3642	0.4778	0.8393	0.6613	0.8824	0.4424
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3563	0.9997	0.1691	0.3605	0.3713	0.3148	0.4593	0.8725	0.6923	0.9418	0.4125
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.4368	0.9996	0.4680	0.3605	0.2863	0.5309	0.5885	0.8005	0.4610	0.8756	0.3630
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.8046	0.9996	0.2705	0.3605	0.5056	0.5309	0.8045	0.8047	0.4297	0.8756	0.1923
