               index         classified?        descriptor_1
                   1                  NO    0.3600000000E-02
                   2                  NO   -0.1870000000E-01
                   3                 YES   -0.1167642400E+00
                   4                  NO   -0.3339332000E-01
                   5                 YES   -0.7149285000E-01
                   6                  NO   -0.2261160000E-02
                   7                  NO   -0.2332300000E-01
                   8                 YES   -0.7884292000E-01
                   9                 YES   -0.1017244600E+00
                  10                  NO   -0.3866284000E-01
                  11                 YES   -0.7370139000E-01
                  12                 YES   -0.7097020000E-01
                  13                 YES   -0.7637656000E-01
                  14                 YES   -0.4699695000E-01
                  15                  NO   -0.4254816000E-01
                  16                  NO   -0.3576375000E-01
                  17                 YES   -0.6357219000E-01
                  18                 YES   -0.6983544000E-01
                  19                 YES   -0.1038493300E+00
                  20                  NO   -0.1377505000E-01
                  21                 YES   -0.5451600000E-01
                  22                 YES   -0.1267554000E+00
                  23                 YES   -0.1260787500E+00
                  24                 YES   -0.2122755700E+00
                  25                  NO    0.5933390000E-01
                  26                 YES   -0.7689756000E-01
                  27                 YES   -0.9807360000E-01
                  28                 YES   -0.5955840000E-01
                  29                 YES   -0.2617779500E+00
                  30                  NO   -0.2530752000E-01
                  31                 YES   -0.5784666000E-01
                  32                  NO    0.0000000000E+00
                  33                  NO   -0.1140560000E-01
                  34                 YES   -0.7774500000E-01
                  35                 YES   -0.9645702000E-01
                  36                 YES   -0.2221611000E+00
                  37                  NO   -0.1746288000E-01
                  38                  NO   -0.2314740000E-02
                  39                  NO   -0.1699400000E-02
                  40                  NO   -0.9190500000E-02
                  41                  NO   -0.4106700000E-01
                  42                 YES    0.2832690000E+00
                  43                  NO   -0.1812725000E-01
                  44                  NO   -0.2409200000E-01
                  45                  NO   -0.2244561000E-01
                  46                  NO   -0.1767000000E-01
                  47                  NO    0.5023620000E-01
                  48                  NO   -0.4230369000E-01
                  49                  NO   -0.1646132000E-01
                  50                  NO   -0.2718235000E-01
                  51                  NO    0.1406196000E-01
                  52                  NO    0.1503480000E-02
                  53                 YES    0.1441683100E+00
                  54                  NO   -0.6423040000E-02
                  55                  NO   -0.6075600000E-02
                  56                  NO    0.3991680000E-02
                  57                  NO   -0.9169800000E-02
                  58                  NO   -0.2994968000E-01
                  59                  NO    0.5922371000E-01
                  60                  NO   -0.1370718000E-01
                  61                 YES    0.1127725900E+00
                  62                 YES    0.1029311000E+00
                  63                 YES    0.6477723000E-01
                  64                  NO    0.1914980000E-01
                  65                  NO    0.7892640000E-02
                  66                  NO   -0.6351360000E-02
