Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9964	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2979	0.0000	0.0000	0.0000	0.0000	0.3395	0.0000	0.9425	0.5608	0.9584	1.0000
sample3	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9645	0.1125	0.0000	0.0000	0.7326	0.7271	0.0000	0.1967	0.3635	0.4029	0.4762
sample4	1.5600	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1489	0.0290	0.0141	0.0000	0.4535	0.4357	0.0000	0.9682	0.9178	1.0000	0.9998
sample5	13.1600	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.9078	0.0375	0.0022	0.0000	0.4535	0.7752	0.0000	0.6513	0.5382	0.9010	0.5369
sample6	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0780	0.0738	0.3947	0.0000	0.0000	0.2541	0.2160	0.9682	0.7795	0.9765	0.2284
sample7	23.0900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6879	0.1608	0.2167	0.6344	0.7326	0.5447	0.4630	0.1806	0.5650	0.4899	0.2820
sample8	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5035	1.0000	0.9796	0.0000	0.0000	0.4236	0.2160	0.9098	0.3253	0.9469	0.5620
sample9	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	0.0387	1.0000	0.6344	0.7326	0.4357	0.2469	0.7075	0.4522	0.7545	0.5742
sample10	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8085	0.0665	0.9532	0.6344	0.7326	0.6295	0.2469	0.1622	0.5501	0.4899	0.2762
sample11	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	0.0308	0.3357	0.6344	0.7326	0.5205	0.4630	0.1051	0.8326	0.1528	0.4244
sample12	14.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6738	0.1119	0.2697	1.0000	1.0000	0.5205	0.2685	0.5524	0.3850	0.7246	0.3801
sample13	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4468	0.1548	0.3291	0.5539	0.6395	0.5277	0.4784	0.7416	0.5008	0.8845	0.4564
sample14	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6099	0.1433	0.3081	0.6395	0.6395	0.7142	0.5525	0.7365	0.4973	0.8663	0.5356
sample15	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7447	0.2666	0.2549	0.5539	0.6395	0.9031	0.4784	0.7952	0.4939	0.8792	0.5005
sample16	6.1400	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.3688	0.0919	0.2325	0.3122	0.3605	0.4623	0.3148	0.8432	0.6468	0.9012	0.6486
sample17	5.9800	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.4184	0.0623	0.2190	0.3605	0.3605	0.5859	0.3642	0.8468	0.6613	0.8987	0.4424
sample18	6.9700	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4397	0.0695	0.1691	0.3122	0.3605	0.7094	0.3148	0.8784	0.6923	0.9592	0.4125
sample19	4.3900	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.5390	0.0883	0.4680	0.3122	0.3605	0.5471	0.5309	0.8098	0.4610	0.8918	0.3630
sample20	3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.7660	0.1336	0.4911	0.3605	0.3605	0.7578	0.6142	0.8193	0.4759	0.8909	0.2019
sample21	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.3688	0.0580	0.2178	0.3525	0.4070	0.4478	0.2778	0.8617	0.6197	0.8765	0.6407
sample22	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.1584	0.0180	0.6344	0.7326	0.7142	0.0309	0.1619	0.0688	0.3792	0.4913
sample23	23.0500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.0689	0.2489	0.0000	0.7326	0.9346	0.5309	0.0463	0.4129	0.3809	0.5573
sample24	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.1040	0.2464	0.0000	0.7326	0.8111	0.2160	0.0000	0.3249	0.4491	0.7536
sample25	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.0617	0.1566	0.2316	1.0000	0.6367	0.2315	0.2647	0.0466	0.0000	0.2591
