Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.9783	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2979	0.0000	0.0000	0.0000	0.1777	0.0000	0.5243	0.9425	0.9410	1.0000
sample3	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9645	0.4218	0.0000	0.7326	0.3805	0.0000	0.7114	0.1967	0.3956	0.4217
sample4	4.6600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4823	0.0000	0.0137	0.3605	0.4366	0.0000	0.4731	0.9480	1.0000	0.9998
sample5	6.6500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6028	0.1950	0.0048	0.3372	1.0000	0.0000	0.6843	0.9036	0.9528	0.9999
sample6	13.1600	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9078	0.1406	0.0023	0.4535	0.4058	0.0000	0.6025	0.6513	0.8847	0.4887
sample7	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0780	0.2766	0.4140	0.0000	0.1330	0.2160	0.1360	0.9682	0.9588	0.1480
sample8	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2340	0.3605	0.3235	0.7326	0.0949	0.4630	0.1878	0.7253	0.7804	0.0000
sample9	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8085	0.2494	1.0000	0.7326	0.3294	0.2469	0.6673	0.1622	0.4810	0.2008
sample10	14.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6738	0.4195	0.2829	1.0000	0.2724	0.2685	0.6951	0.5524	0.7115	0.3155
sample11	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4468	0.5805	0.3453	0.6395	0.2762	0.4784	0.5563	0.7416	0.8684	0.3998
sample12	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6099	0.5374	0.3233	0.6395	0.3738	0.5525	0.5876	0.7365	0.8506	0.4872
sample13	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7447	1.0000	0.2674	0.6395	0.4727	0.4784	0.6296	0.7952	0.8632	0.4485
sample14	6.1400	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3688	0.3447	0.2439	0.3605	0.2420	0.3148	0.5030	0.8432	0.8848	0.6120
sample15	6.9700	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4397	0.2608	0.1774	0.3605	0.3713	0.3148	0.4825	0.8784	0.9418	0.3513
sample16	4.3900	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.5390	0.3311	0.4909	0.3605	0.2863	0.5309	0.6182	0.8098	0.8756	0.2966
sample17	3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.7660	0.5011	0.5152	0.3605	0.3966	0.6142	0.7477	0.8193	0.8747	0.1187
sample18	7.3500	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9929	0.5374	0.2838	0.3605	0.5056	0.5309	0.8452	0.8137	0.8756	0.1081
sample19	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3688	0.2177	0.2285	0.4070	0.2344	0.2778	0.5614	0.8617	0.8606	0.6033
sample20	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4752	0.2766	0.2252	0.6395	0.2217	0.2160	0.5241	0.8190	0.8863	0.5473
sample21	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5941	0.0189	0.7326	0.3738	0.0309	0.7914	0.1619	0.3723	0.4383
sample22	19.2500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.4082	0.1521	0.7326	0.4372	0.2778	0.7348	0.1220	0.3357	0.4261
sample23	29.7700	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.3900	0.2585	0.7326	0.4245	0.2160	0.7324	0.0000	0.4410	0.7280
sample24	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.2313	0.1643	1.0000	0.3332	0.2315	0.6261	0.2647	0.0000	0.1820
sample25	24.9200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9787	0.2494	0.0091	1.0000	0.3776	0.0154	0.7561	0.1419	0.4230	0.1527
sample26	26.3800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.3764	0.0062	1.0000	0.3738	0.0185	0.7809	0.3782	0.5924	0.3198
sample27	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9504	0.3605	0.2127	0.7326	0.4283	0.2315	0.6937	0.5504	0.6227	0.5186
sample28	12.6200	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9362	0.2857	0.0239	0.7326	0.3928	0.0340	0.6600	0.3458	0.6584	0.7066
sample29	5.6500	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3901	0.4195	0.5416	0.3372	0.3840	1.0000	0.5575	0.8761	0.9120	0.3711
sample30	7.9800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3688	0.3855	0.2634	0.4070	0.2787	0.2901	0.6748	0.8460	0.8493	0.3710
sample31	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.7092	0.3832	0.2855	0.0000	0.3561	0.6111	1.0000	0.8623	0.9122	0.4239
sample32	23.4700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6170	0.4558	0.2893	1.0000	0.2825	0.2778	0.5852	0.3112	0.1621	0.2903
