Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18
sample1	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2385	0.0000	0.0000	0.0000	0.1932	0.0000	0.9735	0.6110	0.9410	1.0000
sample2	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9615	0.0000	0.0000	0.7326	0.6666	0.0000	0.2032	0.3961	0.3956	0.4762
sample3	1.5600	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0769	0.0141	0.0000	0.4535	0.3107	0.0000	1.0000	1.0000	0.9819	0.9998
sample4	4.6600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4385	0.0131	0.0000	0.3605	0.7973	0.0000	0.9791	0.8759	1.0000	0.9998
sample5	13.1600	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9000	0.0022	0.0000	0.4535	0.7254	0.0000	0.6727	0.5864	0.8847	0.5369
sample6	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3947	0.0000	0.0000	0.0888	0.3518	1.0000	0.8492	0.9588	0.2284
sample7	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1692	0.3083	0.6344	0.7326	0.0000	0.7538	0.7492	0.7993	0.7804	0.0944
sample8	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4615	0.9796	0.0000	0.0000	0.2959	0.3518	0.9397	0.3544	0.9297	0.5620
sample9	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4308	1.0000	0.6344	0.7326	0.3107	0.4020	0.7307	0.4927	0.7409	0.5742
sample10	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6154	0.2888	0.7326	0.7326	0.4290	0.4623	0.2815	0.3015	0.4368	0.3796
sample11	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7923	0.9532	0.6344	0.7326	0.5473	0.4020	0.1676	0.5993	0.4810	0.2762
sample12	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4308	0.3357	0.6344	0.7326	0.4142	0.7538	0.1086	0.9071	0.1500	0.4244
sample13	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.3291	0.5539	0.6395	0.4231	0.7789	0.7659	0.5456	0.8684	0.4564
sample14	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7231	0.2549	0.5539	0.6395	0.8817	0.7789	0.8214	0.5381	0.8632	0.5005
sample15	6.1400	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.3154	0.2325	0.3122	0.3605	0.3432	0.5126	0.8709	0.7047	0.8848	0.6486
sample16	5.9800	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3692	0.2190	0.3605	0.3605	0.4941	0.5930	0.8746	0.7205	0.8824	0.4424
sample17	6.9700	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.3923	0.1691	0.3122	0.3605	0.6450	0.5126	0.9073	0.7543	0.9418	0.4125
sample18	4.3900	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.5000	0.4680	0.3122	0.3605	0.4467	0.8643	0.8364	0.5023	0.8756	0.3630
sample19	3.6000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.7462	0.4911	0.3605	0.3605	0.7041	1.0000	0.8462	0.5185	0.8747	0.2019
sample20	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.3154	0.2178	0.3525	0.4070	0.3254	0.4523	0.8900	0.6751	0.8606	0.6407
