Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19
sample1	4.6600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4419	0.0109	0.3605	0.3501	0.0000	0.3902	0.9791	1.0000	0.9999
sample2	6.6500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5736	0.0024	0.3372	1.0000	0.0000	0.6346	0.9333	0.9528	1.0000
sample3	13.1600	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9070	0.0000	0.4535	0.3146	0.0000	0.5400	0.6727	0.8847	0.5370
sample4	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3933	0.0000	0.0000	0.3043	0.0000	1.0000	0.9588	0.2285
sample5	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4651	0.9796	0.0000	0.1023	0.3043	0.5978	0.9397	0.9297	0.5621
sample6	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4341	1.0000	0.7326	0.1096	0.3478	0.5251	0.7307	0.7409	0.5742
sample7	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6202	0.2873	0.7326	0.1681	0.4000	0.5685	0.2815	0.4368	0.3796
sample8	14.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6512	0.2681	1.0000	0.1608	0.3783	0.6471	0.5706	0.7115	0.3801
sample9	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4031	0.3277	0.6395	0.1652	0.6739	0.4865	0.7659	0.8684	0.4565
sample10	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5814	0.3066	0.6395	0.2778	0.7783	0.5227	0.7607	0.8506	0.5356
sample11	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7287	0.2532	0.6395	0.3918	0.6739	0.5713	0.8214	0.8632	0.5006
sample12	5.9800	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3721	0.2173	0.3605	0.2003	0.5130	0.4236	0.8746	0.8824	0.4425
sample13	6.9700	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3953	0.1673	0.3605	0.2749	0.4435	0.4011	0.9073	0.9418	0.4125
sample14	7.3500	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.2689	0.3605	0.4298	0.7478	0.8208	0.8405	0.8756	0.1923
sample15	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3178	0.2161	0.4070	0.1170	0.3913	0.4924	0.8900	0.8606	0.6408
sample16	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4341	0.2129	0.6395	0.1023	0.3043	0.4492	0.8459	0.8863	0.5901
sample17	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9922	0.0158	0.7326	0.2778	0.0435	0.7586	0.1672	0.3723	0.4914
sample18	19.2500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9767	0.1431	0.7326	0.3509	0.3913	0.6931	0.1261	0.3357	0.4803
sample19	23.0500	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9767	0.2472	0.7326	0.4108	0.7478	0.8138	0.0478	0.3740	0.5574
sample20	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9767	0.2448	0.7326	0.3363	0.3043	0.6903	0.0000	0.4410	0.7537
sample21	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7597	0.1548	1.0000	0.2310	0.3261	0.5673	0.2734	0.0000	0.2592
sample22	24.9200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9845	0.0065	1.0000	0.2822	0.0217	0.7177	0.1465	0.4230	0.2327
sample23	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9535	0.2010	0.7326	0.3406	0.3261	0.6455	0.5685	0.6227	0.5641
sample24	17.9900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8837	0.1320	0.7326	0.4503	0.3261	0.6275	0.9199	0.9335	0.6672
sample25	12.6200	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9380	0.0206	0.7326	0.2997	0.0478	0.6065	0.3572	0.6584	0.7343
sample26	24.5500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9225	0.0926	0.7326	0.3947	0.3783	0.6370	0.8255	0.8579	0.6863
sample27	1.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4496	0.3575	0.7326	0.1096	0.7043	0.3707	0.4429	0.1743	0.0000
sample28	7.9800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3178	0.2494	0.4070	0.1681	0.4087	0.6236	0.8738	0.8493	0.4304
sample29	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.6899	0.2705	0.0000	0.2573	0.8609	1.0000	0.8906	0.9122	0.4783
sample30	38.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7907	0.2524	0.7326	0.2778	0.5348	0.6171	0.1543	0.0135	0.7115
sample31	23.4700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5891	0.2742	1.0000	0.1725	0.3913	0.5200	0.3214	0.1621	0.3573
sample32	15.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5891	0.3238	0.7326	0.2237	0.6478	0.5470	0.4545	0.6145	0.3650
sample33	26.1300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7597	0.0893	0.7326	0.2822	0.5478	0.5973	0.4672	0.6362	0.4341
sample34	15.4600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4419	0.2239	1.0000	0.1096	0.3217	0.4977	0.6677	0.7270	0.5488
