Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.9783	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3000	0.0000	0.0000	0.3048	0.0000	0.5243	0.9425	0.9410	1.0000
sample3	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9714	0.0000	0.7326	0.6528	0.0000	0.7114	0.1967	0.3956	0.4217
sample4	1.5600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1500	0.0141	0.4535	0.3912	0.0000	0.1011	0.9682	0.9819	0.9998
sample5	4.6600	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4857	0.0131	0.3605	0.7489	0.0000	0.4731	0.9480	1.0000	0.9998
sample6	13.1600	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9143	0.0022	0.4535	0.6960	0.0000	0.6025	0.6513	0.8847	0.4887
sample7	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0786	0.3947	0.0000	0.2281	0.3043	0.1360	0.9682	0.9588	0.1480
sample8	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2357	0.3083	0.7326	0.1629	0.6522	0.1878	0.7253	0.7804	0.0000
sample9	23.0900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6929	0.2167	0.7326	0.4890	0.6522	0.5418	0.1806	0.4810	0.2072
sample10	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5071	0.9796	0.0000	0.3803	0.3043	0.6525	0.9098	0.9297	0.5164
sample11	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4786	1.0000	0.7326	0.3912	0.3478	0.5896	0.7075	0.7409	0.5298
sample12	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6500	0.2888	0.7326	0.4781	0.4000	0.6272	0.2725	0.4368	0.3149
sample13	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8143	0.9532	0.7326	0.5651	0.3478	0.6673	0.1622	0.4810	0.2008
sample14	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4786	0.3357	0.7326	0.4673	0.6522	0.5871	0.1051	0.1500	0.3644
sample15	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6143	0.3081	0.6395	0.6412	0.7783	0.5876	0.7365	0.8506	0.4872
sample16	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.2549	0.6395	0.8108	0.6739	0.6296	0.7952	0.8632	0.4485
sample17	5.9800	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4214	0.2190	0.3605	0.5260	0.5130	0.5020	0.8468	0.8824	0.3843
sample18	6.9700	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4429	0.1691	0.3605	0.6369	0.4435	0.4825	0.8784	0.9418	0.3513
sample19	4.3900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.5429	0.4680	0.3605	0.4912	0.7478	0.6182	0.8098	0.8756	0.2966
sample20	3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.7714	0.4911	0.3605	0.6804	0.8652	0.7477	0.8193	0.8747	0.1187
sample21	7.3500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.2705	0.3605	0.8674	0.7478	0.8452	0.8137	0.8756	0.1081
sample22	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4786	0.2146	0.6395	0.3803	0.3043	0.5241	0.8190	0.8863	0.5473
sample23	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9929	0.0180	0.7326	0.6412	0.0435	0.7914	0.1619	0.3723	0.4383
sample24	23.0500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.2489	0.7326	0.8391	0.7478	0.8391	0.0463	0.3740	0.5112
sample25	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.2464	0.7326	0.7282	0.3043	0.7324	0.0000	0.4410	0.7280
sample26	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7786	0.1566	1.0000	0.5716	0.3261	0.6261	0.2647	0.0000	0.1820
