Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21
sample1	3.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9964	1.0000
sample2	18.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2979	0.0000	0.0000	0.0000	0.1777	0.0000	0.9397	0.5608	0.9584	1.0000
sample3	88.7200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9645	0.0000	0.0000	0.7326	0.3805	0.0000	0.1577	0.3635	0.4029	0.4762
sample4	20.4500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1489	0.0144	0.0000	0.4535	0.2280	0.0000	0.9666	0.9178	1.0000	0.9998
sample5	20.7800	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6028	0.0047	0.0000	0.3372	1.0000	0.0000	0.8989	0.6514	0.9704	0.9999
sample6	25.4800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0780	0.4029	0.0000	0.0000	0.1330	0.2160	0.9666	0.7795	0.9765	0.2284
sample7	45.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5035	1.0000	0.0000	0.0000	0.2217	0.2160	0.9054	0.3253	0.9469	0.5620
sample8	42.6300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6454	0.2949	0.7326	0.7326	0.2787	0.2840	0.2372	0.2768	0.4449	0.3796
sample9	60.5600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8085	0.9731	0.6344	0.7326	0.3294	0.2469	0.1216	0.5501	0.4899	0.2762
sample10	36.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	0.3427	0.6344	0.7326	0.2724	0.4630	0.0617	0.8326	0.1528	0.4244
sample11	50.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6738	0.2753	1.0000	1.0000	0.2724	0.2685	0.5307	0.3850	0.7246	0.3801
sample12	17.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4468	0.3360	0.5539	0.6395	0.2762	0.4784	0.7290	0.5008	0.8845	0.4564
sample13	42.1600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6099	0.3146	0.6395	0.6395	0.3738	0.5525	0.7237	0.4973	0.8663	0.5356
sample14	14.6400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7447	0.2602	0.5539	0.6395	0.4727	0.4784	0.7853	0.4939	0.8792	0.5005
sample15	27.9600	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3688	0.2373	0.3122	0.3605	0.2420	0.3148	0.8356	0.6468	0.9012	0.6486
sample16	31.2000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4397	0.1726	0.3122	0.3605	0.3713	0.3148	0.8725	0.6923	0.9592	0.4125
sample17	25.5100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.5390	0.4777	0.3122	0.3605	0.2863	0.5309	0.8005	0.4610	0.8918	0.3630
sample18	17.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.7660	0.5013	0.3605	0.3605	0.3966	0.6142	0.8105	0.4759	0.8909	0.2019
