     Index              y_true              y_pred        descriptor_1
         1    0.3200000000E+01    0.2395817402E+02    0.0000000000E+00
         2    0.1850000000E+02    0.2395817402E+02    0.0000000000E+00
         3    0.2045000000E+02    0.9746346874E+01    0.1661039126E+00
         4    0.2067000000E+02    0.1938761485E+02    0.5341943398E-01
         5    0.2078000000E+02    0.2373622999E+02    0.2594020572E-02
         6    0.5301000000E+02    0.3400668732E+02   -0.1174442496E+00
         7    0.2548000000E+02    0.2907740939E+02   -0.5983220988E-01
         8    0.2817000000E+02    0.2619909436E+02   -0.2619125829E-01
         9    0.4537000000E+02    0.3364740788E+02   -0.1132450906E+00
        10    0.1845000000E+02    0.1448905831E+02    0.1106724105E+00
        11    0.3615000000E+02    0.4609223957E+02   -0.2586968481E+00
        12    0.5090000000E+02    0.5339905436E+02   -0.3440968824E+00
        13    0.1790000000E+02    0.3245861080E+02   -0.9935075853E-01
        14    0.4216000000E+02    0.3850398567E+02   -0.1700074312E+00
        15    0.1464000000E+02    0.4053484033E+02   -0.1937434999E+00
        16    0.2796000000E+02    0.2511955505E+02   -0.1357390080E-01
        17    0.3187000000E+02    0.2537912424E+02   -0.1660767388E-01
        18    0.2551000000E+02    0.2208713317E+02    0.2186820900E-01
        19    0.1790000000E+02    0.2198841301E+02    0.2302202303E-01
        20    0.3007000000E+02    0.2546487221E+02   -0.1760987250E-01
        21    0.2681000000E+02    0.2600656574E+02   -0.2394103690E-01
        22    0.2622000000E+02    0.3359739342E+02   -0.1126605354E+00
        23    0.5646000000E+02    0.6410026199E+02   -0.4691696431E+00
        24    0.7520000000E+02    0.7079068308E+02   -0.5473654380E+00
        25    0.6383000000E+02    0.5729473098E+02   -0.3896284753E+00
        26    0.5774000000E+02    0.5554676031E+02   -0.3691986766E+00
        27    0.4307000000E+02    0.7104749373E+02   -0.5503669700E+00
        28    0.2720000000E+02    0.1855460308E+02    0.6315544555E-01
        29    0.6276000000E+02    0.6418284179E+02   -0.4701348130E+00
        30    0.5060000000E+01    0.2395817402E+02    0.0000000000E+00
        31    0.9080000000E+02    0.7986945890E+02   -0.6534756636E+00
        32    0.6660000000E+02    0.6265991474E+02   -0.4523352621E+00
        33    0.5100000000E+02    0.3928537506E+02   -0.1791400947E+00
        34    0.7420000000E+02    0.5418193301E+02   -0.3532469519E+00
        35    0.6511000000E+02    0.5998578787E+02   -0.4210808054E+00
        36    0.6029000000E+02    0.5119399687E+02   -0.3183247791E+00
