Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18
sample1	3.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.9783	1.0000
sample2	18.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3022	0.0000	0.0000	0.0000	0.0000	0.1777	0.0000	0.9425	0.9410	1.0000
sample3	88.7200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9784	0.2569	0.0000	0.0000	0.7326	0.3805	0.0000	0.1967	0.3956	0.4217
sample4	20.6700	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4892	0.0000	0.0131	0.0000	0.3605	0.4366	0.0000	0.9480	1.0000	0.9998
sample5	20.7800	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.6115	0.1188	0.0046	0.0000	0.3372	1.0000	0.0000	0.9036	0.9528	0.9999
sample6	53.0100	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.9209	0.0856	0.0022	0.0000	0.4535	0.4058	0.0000	0.6513	0.8847	0.4887
sample7	25.4800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0791	0.1685	0.3947	0.0000	0.0000	0.1330	0.3043	0.9682	0.9588	0.1480
sample8	28.1700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2374	0.2196	0.3083	0.6344	0.7326	0.0949	0.6522	0.7253	0.7804	0.0000
sample9	65.2400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6978	0.3674	0.2167	0.6344	0.7326	0.2851	0.6522	0.1806	0.4810	0.2072
sample10	18.4500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4820	0.0884	1.0000	0.6344	0.7326	0.2280	0.3478	0.7075	0.7409	0.5298
sample11	60.5600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8201	0.1519	0.9532	0.6344	0.7326	0.3294	0.3478	0.1622	0.4810	0.2008
sample12	36.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4820	0.0704	0.3357	0.6344	0.7326	0.2724	0.6522	0.1051	0.1500	0.3644
sample13	42.1600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6187	0.3273	0.3081	0.6395	0.6395	0.3738	0.7783	0.7365	0.8506	0.4872
sample14	27.9600	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.3741	0.2099	0.2325	0.3122	0.3605	0.2420	0.4435	0.8432	0.8848	0.6120
sample15	31.2000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.4460	0.1588	0.1691	0.3122	0.3605	0.3713	0.4435	0.8784	0.9418	0.3513
sample16	25.5100	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.5468	0.2017	0.4680	0.3122	0.3605	0.2863	0.7478	0.8098	0.8756	0.2966
sample17	17.9000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.7770	0.3052	0.4911	0.3605	0.3605	0.3966	0.8652	0.8193	0.8747	0.1187
sample18	26.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.3741	0.1326	0.2178	0.3525	0.4070	0.2344	0.3913	0.8617	0.8606	0.6033
sample19	36.8200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.3619	0.0180	0.6344	0.7326	0.3738	0.0435	0.1619	0.3723	0.4383
sample20	56.4600	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9856	0.2486	0.1450	0.0000	0.7326	0.4372	0.3913	0.1220	0.3357	0.4261
sample21	69.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9856	0.1575	0.2489	0.0000	0.7326	0.4892	0.7478	0.0463	0.3740	0.5112
sample22	75.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9856	0.2376	0.2464	0.0000	0.7326	0.4245	0.3043	0.0000	0.4410	0.7280
sample23	82.8500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7842	0.1409	0.1566	0.2316	1.0000	0.3332	0.3261	0.2647	0.0000	0.1820
sample24	69.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9928	0.1519	0.0087	0.2316	1.0000	0.3776	0.0217	0.1419	0.4230	0.1527
sample25	63.8300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9640	0.2196	0.2027	0.0806	0.7326	0.4283	0.3261	0.5504	0.6227	0.5186
sample26	57.7400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8993	0.4309	0.1339	0.0806	0.7326	0.5234	0.3261	0.8906	0.9335	0.6324
sample27	43.0700	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.9496	0.1740	0.0227	0.2791	0.7326	0.3928	0.0478	0.3458	0.6584	0.7066
sample28	62.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9353	1.0000	0.0945	0.0930	0.7326	0.4752	0.3783	0.7992	0.8579	0.6535
sample29	50.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.3741	0.2348	0.2511	0.3525	0.4070	0.2787	0.4087	0.8460	0.8493	0.3710
sample30	90.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8129	0.0387	0.2540	0.6344	0.7326	0.3738	0.5348	0.1494	0.0135	0.6813
sample31	66.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6259	0.2776	0.2758	0.7444	1.0000	0.2825	0.3913	0.3112	0.1621	0.2903
sample32	51.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6259	0.3909	0.3252	0.6892	0.7326	0.3269	0.6478	0.4400	0.6145	0.2988
