Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22
sample1	3.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000
sample2	18.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3022	0.0000	0.0000	0.0000	0.1777	0.0000	0.5243	0.9425	0.5566	0.9613	1.0000
sample3	88.7200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9784	0.1125	0.0000	0.7326	0.3805	0.0000	0.7114	0.1967	0.3574	0.3960	0.4762
sample4	20.7800	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6115	0.0520	0.0046	0.3372	1.0000	0.0000	0.6843	0.9036	0.6480	0.9735	0.9999
sample5	53.0100	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9209	0.0375	0.0022	0.4535	0.4058	0.0000	0.6025	0.6513	0.5338	0.9030	0.5369
sample6	25.4800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0791	0.0738	0.3947	0.0000	0.1330	0.3043	0.1360	0.9682	0.7773	0.9798	0.2284
sample7	28.1700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2374	0.0961	0.3083	0.7326	0.0949	0.6522	0.1878	0.7253	0.7310	0.7949	0.0944
sample8	45.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5108	1.0000	0.9796	0.0000	0.2217	0.3043	0.6525	0.9098	0.3188	0.9497	0.5620
sample9	18.4500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4820	0.0387	1.0000	0.7326	0.2280	0.3478	0.5896	0.7075	0.4469	0.7539	0.5742
sample10	60.5600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8201	0.0665	0.9532	0.7326	0.3294	0.3478	0.6673	0.1622	0.5458	0.4845	0.2762
sample11	36.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4820	0.0308	0.3357	0.7326	0.2724	0.6522	0.5871	0.1051	0.8310	0.1415	0.4244
sample12	50.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6835	0.1119	0.2697	1.0000	0.2724	0.3783	0.6951	0.5524	0.3790	0.7234	0.3801
sample13	17.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4532	0.1548	0.3291	0.6395	0.2762	0.6739	0.5563	0.7416	0.4960	0.8861	0.4564
sample14	42.1600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6187	0.1433	0.3081	0.6395	0.3738	0.7783	0.5876	0.7365	0.4925	0.8676	0.5356
sample15	14.6400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7554	0.2666	0.2549	0.6395	0.4727	0.6739	0.6296	0.7952	0.4890	0.8807	0.5005
sample16	31.8700	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4245	0.0623	0.2190	0.3605	0.3066	0.5130	0.5020	0.8468	0.6581	0.9006	0.4424
sample17	31.2000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4460	0.0695	0.1691	0.3605	0.3713	0.4435	0.4825	0.8784	0.6893	0.9622	0.4125
sample18	25.5100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.5468	0.0883	0.4680	0.3605	0.2863	0.7478	0.6182	0.8098	0.4558	0.8936	0.3630
sample19	17.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.7770	0.1336	0.4911	0.3605	0.3966	0.8652	0.7477	0.8193	0.4709	0.8927	0.2019
sample20	26.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3741	0.0580	0.2178	0.4070	0.2344	0.3913	0.5614	0.8617	0.6160	0.8780	0.6407
sample21	26.2200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4820	0.0738	0.2146	0.6395	0.2217	0.3043	0.5241	0.8190	0.5871	0.9046	0.5900
sample22	36.8200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.1584	0.0180	0.7326	0.3738	0.0435	0.7914	0.1619	0.0598	0.3719	0.4913
sample23	56.4600	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9856	0.1088	0.1450	0.7326	0.4372	0.3913	0.7348	0.1220	0.3049	0.3340	0.4803
sample24	69.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9856	0.0689	0.2489	0.7326	0.4892	0.7478	0.8391	0.0463	0.4072	0.3737	0.5573
sample25	75.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9856	0.1040	0.2464	0.7326	0.4245	0.3043	0.7324	0.0000	0.3184	0.4430	0.7536
sample26	69.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9928	0.0665	0.0087	1.0000	0.3776	0.0217	0.7561	0.1419	0.3728	0.4244	0.2326
sample27	63.8300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9640	0.0961	0.2027	0.7326	0.4283	0.3261	0.6937	0.5504	0.4026	0.6314	0.5640
sample28	57.7400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8993	0.1886	0.1339	0.7326	0.5234	0.3261	0.6782	0.8906	0.5847	0.9535	0.6671
sample29	62.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9353	0.4377	0.0945	0.7326	0.4752	0.3783	0.6864	0.7992	0.4404	0.8752	0.6862
sample30	5.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4964	0.0846	0.3589	0.7326	0.2280	0.7043	0.4563	0.4288	0.8688	0.1667	0.0000
sample31	26.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.7194	0.1022	0.2721	0.0000	0.3561	0.8609	1.0000	0.8623	0.0000	0.9315	0.4783
sample32	90.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8129	0.0169	0.2540	0.7326	0.3738	0.5348	0.6692	0.1494	0.1015	0.0000	0.7114
sample33	66.6000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6259	0.1215	0.2758	1.0000	0.2825	0.3913	0.5852	0.3112	0.1204	0.1540	0.3572
sample34	74.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7842	0.1850	0.0913	0.7326	0.3776	0.5478	0.6521	0.4523	0.6063	0.6454	0.4341
sample35	60.2900	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8633	0.0786	0.3127	0.7326	0.5830	1.0000	0.6859	0.3856	0.4361	0.8004	0.4998
sample36	44.6000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5108	0.1814	0.2932	0.6395	0.3409	0.6696	0.5423	0.7035	0.4902	0.8736	0.5732
