Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21
sample1	18.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1750	0.0000	0.0000	0.0000	0.1696	0.0000	0.4708	0.9735	0.6110	0.9410	1.0000
sample2	88.7200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9583	0.0000	0.0000	0.7326	0.5852	0.0000	0.6790	0.2032	0.3961	0.3956	0.4762
sample3	20.4500	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0144	0.0000	0.4535	0.2727	0.0000	0.0000	1.0000	1.0000	0.9819	0.9998
sample4	20.6700	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3917	0.0133	0.0000	0.3605	0.7000	0.0000	0.4138	0.9791	0.8759	1.0000	0.9998
sample5	28.1700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.3148	0.6344	0.7326	0.0000	0.4630	0.0964	0.7492	0.7993	0.7804	0.0944
sample6	45.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4167	1.0000	0.0000	0.0000	0.2597	0.2160	0.6134	0.9397	0.3544	0.9297	0.5620
sample7	42.6300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5833	0.2949	0.7326	0.7326	0.3766	0.2840	0.5852	0.2815	0.3015	0.4368	0.3796
sample8	36.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3833	0.3427	0.6344	0.7326	0.3636	0.4630	0.5407	0.1086	0.9071	0.1500	0.4244
sample9	50.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6167	0.2753	1.0000	1.0000	0.3636	0.2685	0.6608	0.5706	0.4194	0.7115	0.3801
sample10	42.1600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5417	0.3146	0.6395	0.6395	0.5714	0.5525	0.5412	0.7607	0.5419	0.8506	0.5356
sample11	14.6400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7000	0.2602	0.5539	0.6395	0.7740	0.4784	0.5879	0.8214	0.5381	0.8632	0.5005
sample12	27.9600	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2583	0.2373	0.3122	0.3605	0.3013	0.3148	0.4471	0.8709	0.7047	0.8848	0.6486
sample13	31.8700	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3167	0.2236	0.3605	0.3605	0.4338	0.3642	0.4459	0.8746	0.7205	0.8824	0.4424
sample14	31.2000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3417	0.1726	0.3122	0.3605	0.5662	0.3148	0.4243	0.9073	0.7543	0.9418	0.4125
sample15	25.5100	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.4583	0.4777	0.3122	0.3605	0.3922	0.5309	0.5753	0.8364	0.5023	0.8756	0.3630
sample16	17.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.7250	0.5013	0.3605	0.3605	0.6182	0.6142	0.7193	0.8462	0.5185	0.8747	0.2019
sample17	30.0700	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9917	0.2761	0.3122	0.3605	0.8416	0.5309	0.8278	0.8405	0.4681	0.8756	0.1923
sample18	26.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.2583	0.2223	0.3525	0.4070	0.2857	0.2778	0.5121	0.8900	0.6751	0.8606	0.6407
sample19	26.2200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.3833	0.2191	0.5539	0.6395	0.2597	0.2160	0.4706	0.8459	0.6439	0.8863	0.5900
sample20	36.8200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9833	0.0184	0.6344	0.7326	0.5714	0.0309	0.7679	0.1672	0.0750	0.3723	0.4913
sample21	56.4600	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9667	0.1480	0.0000	0.7326	0.7013	0.2778	0.7050	0.1261	0.3394	0.3357	0.4803
sample22	69.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9667	0.2540	0.0000	0.7326	0.8078	0.5309	0.8210	0.0478	0.4498	0.3740	0.5573
sample23	75.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9667	0.2515	0.0000	0.7326	0.6753	0.2160	0.7023	0.0000	0.3540	0.4410	0.7536
sample24	82.8500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7333	0.1599	0.2316	1.0000	0.4883	0.2315	0.5841	0.2734	0.0508	0.0000	0.2592
sample25	69.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9750	0.0089	0.2316	1.0000	0.5792	0.0154	0.7287	0.1465	0.4127	0.4230	0.2326
sample26	77.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0060	0.2674	1.0000	0.5714	0.0185	0.7563	0.3906	0.0000	0.5924	0.3840
sample27	63.8300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9417	0.2070	0.0806	0.7326	0.6831	0.2315	0.6593	0.5685	0.4448	0.6227	0.5640
sample28	27.2000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2833	0.5270	0.2920	0.3372	0.5922	1.0000	0.5077	0.9049	0.6560	0.9120	0.4305
sample29	62.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9083	0.0965	0.0930	0.7326	0.7792	0.2685	0.6511	0.8255	0.4856	0.8579	0.6862
sample30	5.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.3664	0.6344	0.7326	0.2727	0.5000	0.3951	0.4429	0.9479	0.1743	0.0000
sample31	26.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.6583	0.2778	0.0000	0.0000	0.5351	0.6111	1.0000	0.8906	0.0104	0.9122	0.4783
sample32	51.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5500	0.3320	0.6892	0.7326	0.4753	0.4599	0.5645	0.4545	0.5685	0.6145	0.3650
sample33	74.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7333	0.0932	0.6123	0.7326	0.5792	0.3889	0.6129	0.4672	0.6647	0.6362	0.4341
sample34	65.1100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3917	0.2303	1.0000	1.0000	0.2727	0.2284	0.5172	0.6677	0.3390	0.7270	0.5488
sample35	60.2900	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8250	0.3192	0.3245	0.7326	1.0000	0.7099	0.6506	0.3983	0.4810	0.7858	0.4998
sample36	44.6000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4167	0.2993	0.5375	0.6395	0.5039	0.4753	0.4908	0.7266	0.5394	0.8563	0.5732
