Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23
sample1	3.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9964	1.0000
sample2	18.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2979	0.0000	0.0000	0.0000	0.1777	0.0000	0.5243	0.9425	0.5608	0.9584	1.0000
sample3	88.7200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9645	0.0000	0.0000	0.7326	0.3805	0.0000	0.7114	0.1967	0.3635	0.4029	0.4762
sample4	20.4500	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1489	0.0141	0.0000	0.4535	0.2280	0.0000	0.1011	0.9682	0.9178	1.0000	0.9998
sample5	20.7800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6028	0.0046	0.0000	0.3372	1.0000	0.0000	0.6843	0.9036	0.6514	0.9704	0.9999
sample6	53.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9078	0.0022	0.0000	0.4535	0.4058	0.0000	0.6025	0.6513	0.5382	0.9010	0.5369
sample7	28.1700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2340	0.3083	0.6344	0.7326	0.0949	0.4630	0.1878	0.7253	0.7336	0.7949	0.0944
sample8	65.2400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6879	0.2167	0.6344	0.7326	0.2851	0.4630	0.5418	0.1806	0.5650	0.4899	0.2820
sample9	45.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5035	0.9796	0.0000	0.0000	0.2217	0.2160	0.6525	0.9098	0.3253	0.9469	0.5620
sample10	18.4500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	1.0000	0.6344	0.7326	0.2280	0.2469	0.5896	0.7075	0.4522	0.7545	0.5742
sample11	36.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	0.3357	0.6344	0.7326	0.2724	0.4630	0.5871	0.1051	0.8326	0.1528	0.4244
sample12	17.9000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4468	0.3291	0.5539	0.6395	0.2762	0.4784	0.5563	0.7416	0.5008	0.8845	0.4564
sample13	14.6400	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7447	0.2549	0.5539	0.6395	0.4727	0.4784	0.6296	0.7952	0.4939	0.8792	0.5005
sample14	27.9600	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3688	0.2325	0.3122	0.3605	0.2420	0.3148	0.5030	0.8432	0.6468	0.9012	0.6486
sample15	31.8700	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4184	0.2190	0.3605	0.3605	0.3066	0.3642	0.5020	0.8468	0.6613	0.8987	0.4424
sample16	31.2000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4397	0.1691	0.3122	0.3605	0.3713	0.3148	0.4825	0.8784	0.6923	0.9592	0.4125
