Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22
sample1	3.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2	88.7200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9645	0.2569	0.0000	0.0000	0.7326	0.6528	0.0000	0.1967	0.3635	0.3956	0.4762
sample3	20.4500	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1489	0.0663	0.0141	0.0000	0.4535	0.3912	0.0000	0.9682	0.9178	0.9819	0.9998
sample4	20.6700	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4823	0.0000	0.0131	0.0000	0.3605	0.7489	0.0000	0.9480	0.8039	1.0000	0.9998
sample5	53.0100	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9078	0.0856	0.0022	0.0000	0.4535	0.6960	0.0000	0.6513	0.5382	0.8847	0.5369
sample6	25.4800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0780	0.1685	0.3947	0.0000	0.0000	0.2281	0.2160	0.9682	0.7795	0.9588	0.2284
sample7	18.4500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	0.0884	1.0000	0.6344	0.7326	0.3912	0.2469	0.7075	0.4522	0.7409	0.5742
sample8	42.6300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6454	0.1865	0.2888	0.7326	0.7326	0.4781	0.2840	0.2725	0.2768	0.4368	0.3796
sample9	60.5600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8085	0.1519	0.9532	0.6344	0.7326	0.5651	0.2469	0.1622	0.5501	0.4810	0.2762
sample10	36.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	0.0704	0.3357	0.6344	0.7326	0.4673	0.4630	0.1051	0.8326	0.1500	0.4244
sample11	50.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6738	0.2555	0.2697	1.0000	1.0000	0.4673	0.2685	0.5524	0.3850	0.7115	0.3801
sample12	42.1600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6099	0.3273	0.3081	0.6395	0.6395	0.6412	0.5525	0.7365	0.4973	0.8506	0.5356
sample13	27.9600	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3688	0.2099	0.2325	0.3122	0.3605	0.4151	0.3148	0.8432	0.6468	0.8848	0.6486
sample14	31.8700	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4184	0.1423	0.2190	0.3605	0.3605	0.5260	0.3642	0.8468	0.6613	0.8824	0.4424
sample15	31.2000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4397	0.1588	0.1691	0.3122	0.3605	0.6369	0.3148	0.8784	0.6923	0.9418	0.4125
